Component,Function,FailureModes,Effects,Severity,DetectionControl,RequirementIDs,CyberRisks
cdr,ReadFloat64,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadInt16,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadInt32,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadInt64,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadInt8,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadString,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadUint16,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadUint32,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadUint64,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadUint8,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,Remaining,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteBool,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteBytes,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteFloat32,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteFloat64,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteInt16,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteInt32,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteInt64,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteInt8,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteString,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteUint16,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteUint32,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteUint64,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,WriteUint8,Partial write / data corruption,Incorrect system state,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
config,LoadConfig,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
config,ParseConfig,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
config,Validate,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
cyclone,C,Incorrect output,Incorrect system behavior,low,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,Domain,Incorrect output,Incorrect system behavior,low,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,New,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,New,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
cyclone,NewPublisher,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,NewSubscriber,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,NewWithOptions,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,NewWithOptions,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
cyclone,TryRead,Incorrect output,Incorrect system behavior,low,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,Unsubscribe,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,Write,Returns unexpected error; Partial write / data corruption,Silent failure propagated to caller; Incorrect system state,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
cyclone,WriteCtx,Returns unexpected error; Partial write / data corruption,Silent failure propagated to caller; Incorrect system state,medium,unit tests,,"CYBER004: import of ""unsafe"" bypasses Go type safety and memory safety guarantees"
domain,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
domain,New,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
domain,Start,Goroutine not terminated,Memory leak or deadlock,medium,unit tests,,
go-DDS (dds),ApplySubscriberOpts,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),Attach,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),C,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),ChanDepth,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
go-DDS (dds),Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
go-DDS (dds),CloseWithDrain,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
go-DDS (dds),Detach,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),End,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),Marshal,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
go-DDS (dds),Marshal,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
go-DDS (dds),Marshal,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
go-DDS (dds),NewTypedPublisher,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),NewTypedSubscriber,Goroutine not terminated,Memory leak or deadlock,medium,unit tests,,
go-DDS (dds),NewWaitSet,Incorrect output,Incorrect system behavior,low,unit tests,,
go-DDS (dds),SetAttribute,Incorrect output,Incorrect system behavior,low,unit tests,,
